Time[s],RateRoll[°/s],RatePitch[°/s],RateYaw[°/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2],HX711_readings,Applied_Torque[Nm]
527.6,-0.12,0.07,-0.02,1.48,-9.65,1.09,6063567.0,0.8
527.7,-0.12,0.06,-0.04,1.47,-9.66,1.1,6063511.0,0.8
527.81,-0.13,0.02,-0.05,1.45,-9.67,1.11,6063593.0,0.8
527.92,-0.15,-0.01,-0.04,1.45,-9.67,1.11,6063824.0,0.8
528.03,-0.19,-0.01,-0.01,1.45,-9.67,1.1,6064038.0,0.8
528.13,-0.21,0.01,0.01,1.45,-9.66,1.08,6064246.0,0.8
528.24,-0.2,0.03,0.01,1.45,-9.65,1.06,6064384.0,0.8
528.35,-0.18,0.04,-0.01,1.46,-9.65,1.05,6064413.0,0.8
528.46,-0.16,0.06,-0.0,1.46,-9.64,1.05,6064365.0,0.8
528.56,-0.12,0.07,0.03,1.46,-9.64,1.04,6064350.0,0.8
528.67,-0.1,0.04,0.05,1.46,-9.63,1.05,6064397.0,0.8
528.78,-0.11,0.0,0.04,1.45,-9.63,1.05,6064420.0,0.8
528.88,-0.13,-0.03,0.01,1.44,-9.63,1.05,6064366.0,0.8
528.99,-0.15,-0.04,-0.02,1.44,-9.62,1.07,6064169.0,0.8
529.1,-0.13,-0.05,-0.04,1.44,-9.62,1.09,6063842.0,0.8
529.21,-0.11,-0.06,-0.06,1.44,-9.63,1.1,6063540.0,0.8
529.31,-0.11,-0.05,-0.07,1.44,-9.63,1.11,6063280.0,0.8
529.42,-0.12,-0.01,-0.05,1.44,-9.65,1.1,6063086.0,0.8
529.53,-0.1,0.01,-0.03,1.43,-9.65,1.1,6062643.0,0.8
529.64,-0.1,0.01,-0.0,1.44,-9.65,1.09,6062378.0,0.8
529.75,-0.12,-0.02,0.02,1.44,-9.64,1.08,6062208.0,0.8
529.86,-0.12,-0.05,0.04,1.44,-9.65,1.06,6062058.0,0.8
529.96,-0.1,-0.07,0.05,1.44,-9.66,1.05,6061959.0,0.8
530.07,-0.1,-0.08,0.05,1.45,-9.66,1.05,6061959.0,0.8
530.18,-0.12,-0.06,0.03,1.46,-9.66,1.07,6062373.0,0.8
530.29,-0.14,-0.03,-0.0,1.46,-9.66,1.08,6062601.0,0.8
530.39,-0.14,-0.0,-0.04,1.45,-9.66,1.08,6062785.0,0.8
530.5,-0.13,0.01,-0.04,1.44,-9.65,1.07,6062952.0,0.8
530.61,-0.12,0.0,-0.04,1.43,-9.64,1.08,6063118.0,0.8
530.72,-0.13,-0.02,-0.05,1.43,-9.63,1.1,6063221.0,0.8
530.83,-0.15,-0.03,-0.05,1.43,-9.62,1.11,6063204.0,0.8
530.93,-0.17,-0.03,-0.03,1.44,-9.62,1.11,6063240.0,0.8
531.04,-0.19,-0.02,-0.04,1.45,-9.62,1.1,6063259.0,0.8
531.15,-0.2,-0.03,-0.04,1.44,-9.64,1.09,6063337.0,0.8
531.26,-0.19,-0.05,-0.03,1.43,-9.64,1.09,6063503.0,0.8
531.37,-0.18,-0.07,-0.02,1.42,-9.65,1.09,6063951.0,0.8
531.48,-0.18,-0.07,-0.01,1.41,-9.65,1.1,6063918.0,0.8
531.59,-0.2,-0.06,-0.01,1.41,-9.65,1.1,6063684.0,0.8
531.7,-0.22,-0.07,-0.0,1.41,-9.64,1.09,6063393.0,0.8
531.8,-0.21,-0.07,-0.0,1.41,-9.64,1.07,6063318.0,0.8
531.91,-0.2,-0.04,-0.01,1.41,-9.64,1.06,6063383.0,0.8
532.02,-0.17,-0.01,-0.01,1.42,-9.63,1.05,6063712.0,0.8
532.13,-0.12,-0.0,0.01,1.43,-9.63,1.05,6063835.0,0.8
532.24,-0.09,-0.0,0.02,1.45,-9.63,1.08,6063892.0,0.8
532.35,-0.09,-0.0,0.01,1.44,-9.62,1.1,6063929.0,0.8
532.45,-0.11,-0.01,-0.03,1.43,-9.62,1.1,6064065.0,0.8
532.56,-0.13,-0.03,-0.04,1.43,-9.61,1.08,6064230.0,0.8
532.67,-0.15,-0.03,-0.01,1.43,-9.61,1.08,6064224.0,0.8
532.78,-0.16,0.0,0.04,1.44,-9.62,1.09,6064114.0,0.8
532.89,-0.16,0.04,0.05,1.46,-9.63,1.09,6064038.0,0.8
532.99,-0.17,0.06,0.04,1.47,-9.63,1.08,6063956.0,0.8
533.1,-0.17,0.06,0.03,1.47,-9.63,1.07,6063898.0,0.8
533.21,-0.16,0.04,0.03,1.46,-9.62,1.06,6063790.0,0.8
533.31,-0.15,0.01,0.04,1.45,-9.63,1.06,6063551.0,0.8
533.42,-0.13,-0.01,0.02,1.43,-9.64,1.06,6063557.0,0.8
533.53,-0.1,-0.05,-0.02,1.42,-9.65,1.07,6063524.0,0.8
533.63,-0.07,-0.07,-0.07,1.41,-9.65,1.09,6063554.0,0.8
533.74,-0.07,-0.09,-0.09,1.42,-9.65,1.1,6063585.0,0.8
533.85,-0.11,-0.11,-0.08,1.43,-9.65,1.1,6063558.0,0.8
533.95,-0.14,-0.1,-0.06,1.44,-9.65,1.1,6063457.0,0.8
534.06,-0.13,-0.07,-0.03,1.44,-9.65,1.1,6063385.0,0.8
534.17,-0.12,-0.03,-0.0,1.44,-9.64,1.1,6063321.0,0.8
534.28,-0.12,-0.01,0.02,1.44,-9.63,1.1,6063278.0,0.8
534.38,-0.11,0.01,0.04,1.44,-9.62,1.1,6063216.0,0.8
534.49,-0.11,0.03,0.03,1.44,-9.63,1.09,6063129.0,0.8
534.6,-0.12,0.03,0.02,1.44,-9.64,1.09,6063022.0,0.8
534.7,-0.12,0.01,-0.0,1.45,-9.65,1.1,6062913.0,0.8
534.81,-0.13,-0.01,-0.03,1.46,-9.66,1.1,6062841.0,0.8
534.92,-0.12,-0.02,-0.04,1.46,-9.67,1.1,6062690.0,0.8
535.03,-0.1,-0.03,-0.03,1.44,-9.68,1.08,6062562.0,0.8
535.13,-0.09,-0.03,-0.03,1.45,-9.68,1.06,6062558.0,0.8
535.24,-0.09,-0.01,-0.05,1.46,-9.69,1.06,6062631.0,0.8
535.35,-0.1,0.03,-0.08,1.46,-9.69,1.06,6062911.0,0.8
535.45,-0.12,0.06,-0.08,1.45,-9.68,1.08,6063030.0,0.8
535.56,-0.13,0.05,-0.04,1.44,-9.67,1.09,6063086.0,0.8
535.67,-0.13,0.01,-0.01,1.45,-9.66,1.09,6063123.0,0.8
535.77,-0.14,-0.02,-0.01,1.45,-9.66,1.09,6063080.0,0.8
535.88,-0.16,-0.04,-0.02,1.44,-9.66,1.09,6063009.0,0.8
535.99,-0.18,-0.05,-0.02,1.44,-9.65,1.09,6062921.0,0.8
536.09,-0.18,-0.06,0.0,1.43,-9.64,1.09,6062885.0,0.8
536.2,-0.18,-0.07,0.01,1.44,-9.63,1.09,6062856.0,0.8
536.31,-0.16,-0.1,-0.01,1.44,-9.62,1.09,6062859.0,0.8
536.41,-0.15,-0.09,-0.04,1.44,-9.61,1.09,6062958.0,0.8
536.52,-0.15,-0.07,-0.05,1.42,-9.62,1.09,6062995.0,0.8
536.63,-0.15,-0.06,-0.04,1.41,-9.63,1.09,6063022.0,0.8
536.74,-0.14,-0.06,-0.02,1.42,-9.63,1.08,6063117.0,0.8
536.84,-0.14,-0.04,0.0,1.44,-9.64,1.07,6063164.0,0.8
536.95,-0.15,-0.02,0.02,1.45,-9.65,1.06,6063181.0,0.8
537.06,-0.14,-0.01,0.03,1.46,-9.64,1.06,6063169.0,0.8
537.16,-0.14,0.01,0.03,1.47,-9.63,1.07,6063164.0,0.8
537.27,-0.12,0.01,0.02,1.47,-9.62,1.08,6063173.0,0.8
537.38,-0.1,0.0,0.01,1.47,-9.63,1.1,6063136.0,0.8
537.49,-0.09,-0.01,-0.0,1.47,-9.63,1.11,6063077.0,0.8
537.59,-0.07,-0.01,-0.01,1.48,-9.64,1.1,6063024.0,0.8
537.7,-0.07,0.01,-0.0,1.47,-9.63,1.09,6062954.0,0.8
537.81,-0.07,0.03,0.0,1.46,-9.64,1.08,6062833.0,0.8
537.91,-0.07,0.03,0.01,1.44,-9.64,1.09,6062653.0,0.8
538.02,-0.09,0.05,0.01,1.43,-9.64,1.1,6062430.0,0.8
538.13,-0.12,0.08,0.02,1.43,-9.63,1.1,6062293.0,0.8
538.23,-0.15,0.07,0.06,1.42,-9.63,1.1,6062131.0,0.8
538.34,-0.17,0.05,0.07,1.42,-9.63,1.09,6062149.0,0.8
538.45,-0.19,0.02,0.05,1.43,-9.62,1.08,6062134.0,0.8
538.55,-0.18,-0.0,0.03,1.43,-9.61,1.08,6062093.0,0.8
538.66,-0.16,-0.02,-0.01,1.41,-9.61,1.07,6062111.0,0.8
538.77,-0.12,-0.02,-0.06,1.4,-9.62,1.07,6062232.0,0.8
538.87,-0.11,-0.0,-0.09,1.41,-9.63,1.07,6062314.0,0.8
538.98,-0.11,0.02,-0.1,1.42,-9.63,1.09,6062399.0,0.8
539.09,-0.12,0.03,-0.09,1.44,-9.63,1.11,6062384.0,0.8
539.2,-0.14,0.01,-0.06,1.45,-9.62,1.11,6062370.0,0.8
539.3,-0.15,-0.02,-0.03,1.46,-9.62,1.1,6062332.0,0.8
539.41,-0.14,-0.04,-0.02,1.46,-9.62,1.09,6062257.0,0.8
539.52,-0.16,-0.06,-0.02,1.46,-9.63,1.08,6062259.0,0.8
539.62,-0.18,-0.08,-0.03,1.46,-9.64,1.06,6062314.0,0.8
539.73,-0.16,-0.08,-0.04,1.45,-9.65,1.07,6062333.0,0.8
539.84,-0.13,-0.07,-0.03,1.44,-9.65,1.09,6062329.0,0.8
539.94,-0.15,-0.08,-0.01,1.43,-9.65,1.11,6062358.0,0.8
540.05,-0.18,-0.08,0.01,1.43,-9.66,1.11,6062337.0,0.8
540.16,-0.19,-0.05,0.02,1.44,-9.66,1.11,6062374.0,0.8
540.27,-0.16,-0.02,0.02,1.45,-9.66,1.11,6062418.0,0.8
540.37,-0.13,0.01,0.03,1.46,-9.65,1.11,6062421.0,0.8
540.48,-0.1,0.03,0.03,1.47,-9.64,1.11,6062400.0,0.8
540.59,-0.09,0.03,0.03,1.47,-9.64,1.12,6062413.0,0.8
540.69,-0.1,0.03,0.02,1.45,-9.65,1.11,6062478.0,0.8
540.8,-0.13,0.02,0.01,1.43,-9.67,1.08,6062457.0,0.8
540.91,-0.18,-0.01,-0.0,1.41,-9.68,1.05,6062412.0,0.8
541.01,-0.19,-0.03,-0.02,1.4,-9.67,1.03,6062358.0,0.8
541.12,-0.18,-0.04,-0.04,1.4,-9.66,1.04,6062243.0,0.8
541.23,-0.17,-0.04,-0.03,1.41,-9.65,1.06,6062149.0,0.8
541.34,-0.16,-0.02,-0.02,1.42,-9.65,1.07,6062115.0,0.8
541.44,-0.14,0.01,-0.02,1.43,-9.64,1.07,6062162.0,0.8
541.55,-0.12,0.03,-0.03,1.43,-9.64,1.07,6062161.0,0.8
541.66,-0.12,0.01,-0.02,1.43,-9.65,1.07,6062207.0,0.8
541.76,-0.12,-0.03,-0.02,1.41,-9.66,1.06,6062223.0,0.8
541.87,-0.1,-0.06,-0.04,1.41,-9.65,1.06,6062274.0,0.8
541.98,-0.08,-0.07,-0.05,1.42,-9.64,1.06,6062243.0,0.8
542.09,-0.08,-0.06,-0.03,1.43,-9.66,1.06,6062356.0,0.8
542.19,-0.09,-0.04,-0.01,1.44,-9.67,1.07,6062334.0,0.8
542.3,-0.09,-0.01,0.01,1.45,-9.67,1.08,6062329.0,0.8
542.41,-0.09,0.02,0.01,1.44,-9.66,1.09,6062316.0,0.8
542.52,-0.1,0.05,0.01,1.43,-9.66,1.1,6062353.0,0.8
542.62,-0.13,0.06,0.02,1.43,-9.66,1.11,6062367.0,0.8
542.73,-0.14,0.06,0.02,1.43,-9.65,1.1,6062421.0,0.8
542.83,-0.14,0.07,-0.0,1.44,-9.65,1.09,6062453.0,0.8
542.94,-0.13,0.07,-0.03,1.44,-9.65,1.08,6062427.0,0.8
543.05,-0.14,0.05,-0.04,1.44,-9.65,1.08,6062395.0,0.8
543.15,-0.15,0.01,-0.05,1.44,-9.65,1.07,6062267.0,0.8
543.26,-0.15,-0.01,-0.08,1.44,-9.66,1.09,6062194.0,0.8
543.37,-0.15,-0.01,-0.1,1.45,-9.66,1.1,6062140.0,0.8
543.48,-0.14,0.01,-0.1,1.46,-9.65,1.11,6061996.0,0.8
543.58,-0.14,0.03,-0.07,1.46,-9.65,1.1,6061931.0,0.8
543.69,-0.16,0.04,-0.04,1.45,-9.66,1.1,6061839.0,0.8
543.8,-0.17,0.03,-0.04,1.43,-9.67,1.1,6061723.0,0.8
543.9,-0.16,0.02,-0.04,1.41,-9.67,1.09,6061650.0,0.8
544.01,-0.13,0.02,-0.04,1.41,-9.68,1.09,6061568.0,0.8
544.12,-0.09,0.0,-0.02,1.41,-9.67,1.08,6061420.0,0.8
544.22,-0.08,-0.01,0.01,1.42,-9.66,1.08,6061380.0,0.8
544.33,-0.08,-0.0,0.02,1.42,-9.64,1.08,6061368.0,0.8
544.44,-0.11,0.01,0.0,1.43,-9.62,1.08,6061415.0,0.8
544.55,-0.13,0.01,-0.02,1.44,-9.62,1.09,6061490.0,0.8
544.65,-0.15,-0.01,-0.04,1.44,-9.62,1.09,6061590.0,0.8
544.77,-0.16,-0.03,-0.06,1.44,-9.62,1.08,6061857.0,0.8
544.87,-0.16,-0.05,-0.05,1.44,-9.63,1.09,6061999.0,0.8
544.98,-0.14,-0.06,-0.06,1.45,-9.65,1.09,6062060.0,0.8
545.09,-0.11,-0.07,-0.07,1.45,-9.66,1.09,6062098.0,0.8
545.19,-0.1,-0.06,-0.08,1.45,-9.65,1.08,6062065.0,0.8
545.3,-0.1,-0.03,-0.07,1.46,-9.64,1.07,6061983.0,0.8
545.41,-0.11,0.0,-0.05,1.47,-9.63,1.06,6061894.0,0.8
545.51,-0.13,0.01,-0.04,1.47,-9.63,1.07,6061903.0,0.8
545.62,-0.15,-0.0,-0.03,1.47,-9.64,1.09,6061940.0,0.8
545.72,-0.17,-0.0,-0.01,1.47,-9.65,1.09,6061999.0,0.8
545.83,-0.16,-0.01,0.01,1.47,-9.65,1.09,6062096.0,0.8
545.94,-0.16,-0.01,0.01,1.46,-9.65,1.09,6062236.0,0.8
546.05,-0.15,-0.02,-0.0,1.46,-9.64,1.09,6062314.0,0.8
546.15,-0.17,-0.02,-0.01,1.45,-9.65,1.09,6062452.0,0.8
546.26,-0.2,0.0,-0.02,1.44,-9.66,1.09,6062551.0,0.8
546.37,-0.2,0.03,-0.02,1.44,-9.68,1.09,6062583.0,0.8
546.47,-0.17,0.03,-0.01,1.43,-9.69,1.1,6062581.0,0.8
546.58,-0.14,0.03,0.02,1.42,-9.68,1.1,6062600.0,0.8
546.69,-0.12,0.01,0.04,1.42,-9.67,1.09,6062594.0,0.8
546.8,-0.13,-0.02,0.05,1.43,-9.66,1.09,6062617.0,0.8
546.9,-0.15,-0.02,0.03,1.44,-9.65,1.07,6062583.0,0.8
547.01,-0.17,0.0,0.02,1.46,-9.65,1.06,6062532.0,0.8
547.12,-0.18,0.04,0.01,1.47,-9.64,1.05,6062481.0,0.8
547.22,-0.15,0.06,-0.01,1.47,-9.64,1.06,6062449.0,0.8
547.33,-0.11,0.06,-0.03,1.47,-9.65,1.07,6062414.0,0.8
547.44,-0.09,0.06,-0.04,1.46,-9.66,1.08,6062393.0,0.8
547.55,-0.1,0.05,-0.04,1.45,-9.66,1.08,6062322.0,0.8
547.65,-0.11,0.04,-0.03,1.44,-9.64,1.08,6062345.0,0.8
547.76,-0.13,0.0,-0.01,1.44,-9.62,1.09,6062330.0,0.8
547.86,-0.14,-0.03,-0.01,1.43,-9.6,1.1,6062294.0,0.8
547.97,-0.14,-0.03,-0.01,1.42,-9.61,1.1,6062231.0,0.8
548.08,-0.14,-0.02,0.0,1.43,-9.62,1.09,6062160.0,0.8
548.19,-0.14,-0.02,0.02,1.44,-9.64,1.08,6062055.0,0.8
548.29,-0.16,-0.03,0.01,1.45,-9.65,1.07,6062071.0,0.8
548.4,-0.17,-0.05,-0.0,1.46,-9.66,1.06,6062033.0,0.8
548.51,-0.17,-0.07,-0.01,1.46,-9.65,1.06,6061989.0,0.8
548.61,-0.15,-0.07,-0.01,1.45,-9.65,1.08,6062052.0,0.8
548.72,-0.13,-0.05,-0.03,1.45,-9.66,1.1,6062087.0,0.8
548.83,-0.13,-0.02,-0.06,1.43,-9.66,1.11,6062165.0,0.8
548.94,-0.12,0.02,-0.07,1.42,-9.66,1.09,6062099.0,0.8
549.05,-0.12,0.05,-0.05,1.4,-9.66,1.06,6061964.0,0.8
549.16,-0.14,0.06,-0.02,1.4,-9.66,1.04,6061863.0,0.8
549.26,-0.15,0.06,-0.01,1.4,-9.66,1.04,6061865.0,0.8
549.37,-0.15,0.05,-0.01,1.41,-9.66,1.05,6061844.0,0.8
549.48,-0.14,0.04,-0.01,1.42,-9.66,1.08,6061832.0,0.8
549.59,-0.11,0.02,-0.02,1.43,-9.65,1.11,6061821.0,0.8
549.69,-0.11,-0.0,-0.03,1.44,-9.64,1.13,6061879.0,0.8
549.8,-0.12,-0.0,-0.02,1.45,-9.64,1.15,6061895.0,0.8
549.91,-0.14,0.02,-0.02,1.45,-9.65,1.14,6061886.0,0.8
550.02,-0.16,0.03,-0.02,1.45,-9.66,1.12,6061897.0,0.8
550.13,-0.17,0.03,-0.03,1.44,-9.66,1.08,6061873.0,0.8
550.23,-0.16,0.03,-0.05,1.44,-9.66,1.07,6061810.0,0.8
550.34,-0.15,0.02,-0.08,1.45,-9.66,1.07,6061760.0,0.8
550.45,-0.14,0.01,-0.08,1.45,-9.66,1.07,6061743.0,0.8
550.56,-0.12,-0.01,-0.06,1.45,-9.66,1.07,6061755.0,0.8
550.67,-0.13,-0.03,-0.05,1.45,-9.65,1.07,6061813.0,0.8
550.77,-0.15,-0.01,-0.02,1.44,-9.66,1.07,6061823.0,0.8
550.88,-0.16,0.01,0.01,1.43,-9.66,1.07,6061843.0,0.8
550.99,-0.17,0.01,0.03,1.42,-9.66,1.07,6061846.0,0.8
551.1,-0.17,0.01,0.03,1.42,-9.66,1.07,6061842.0,0.8
551.21,-0.17,0.01,0.03,1.42,-9.66,1.09,6061890.0,0.8
551.32,-0.17,0.0,0.02,1.42,-9.66,1.1,6061897.0,0.8
551.42,-0.16,-0.01,-0.01,1.43,-9.66,1.09,6061871.0,0.8
551.53,-0.15,-0.01,-0.04,1.43,-9.66,1.06,6061791.0,0.8
551.64,-0.14,-0.02,-0.05,1.43,-9.65,1.03,6061770.0,0.8
551.75,-0.14,-0.04,-0.06,1.43,-9.66,1.02,6061784.0,0.8
551.85,-0.15,-0.05,-0.07,1.43,-9.66,1.02,6061731.0,0.8
551.96,-0.13,-0.06,-0.07,1.44,-9.66,1.04,6061635.0,0.8
552.07,-0.1,-0.04,-0.07,1.44,-9.66,1.07,6061587.0,0.8
552.18,-0.08,-0.02,-0.05,1.43,-9.65,1.09,6061616.0,0.8
552.28,-0.08,-0.02,-0.01,1.44,-9.65,1.1,6061604.0,0.8
552.39,-0.08,-0.02,0.02,1.44,-9.64,1.09,6061601.0,0.8
552.5,-0.09,-0.02,0.04,1.43,-9.63,1.09,6061624.0,0.8
552.61,-0.08,-0.03,0.06,1.44,-9.63,1.1,6061694.0,0.8
552.71,-0.09,-0.03,0.07,1.45,-9.63,1.09,6061789.0,0.8
552.83,-0.12,-0.02,0.06,1.45,-9.63,1.07,6061824.0,0.8
552.93,-0.14,-0.0,0.04,1.44,-9.63,1.07,6061830.0,0.8
553.04,-0.15,0.02,0.02,1.44,-9.64,1.08,6061845.0,0.8
553.15,-0.15,0.03,0.01,1.44,-9.64,1.08,6061866.0,0.8
553.26,-0.15,0.02,-0.01,1.44,-9.64,1.07,6061896.0,0.8
553.36,-0.14,-0.01,-0.03,1.42,-9.64,1.06,6061796.0,0.8
553.47,-0.14,-0.05,-0.05,1.42,-9.63,1.07,6061753.0,0.8
553.58,-0.15,-0.08,-0.06,1.42,-9.64,1.08,6061675.0,0.8
553.69,-0.16,-0.09,-0.05,1.42,-9.65,1.08,6061607.0,0.8
553.8,-0.15,-0.07,-0.04,1.43,-9.66,1.08,6061497.0,0.8
553.9,-0.16,-0.03,-0.03,1.44,-9.65,1.09,6061366.0,0.8
554.01,-0.18,0.01,-0.01,1.45,-9.65,1.1,6061138.0,0.8
554.12,-0.18,0.01,0.0,1.46,-9.65,1.1,6061051.0,0.8
554.22,-0.17,-0.02,0.0,1.45,-9.66,1.09,6060934.0,0.8
554.33,-0.16,-0.03,0.0,1.44,-9.68,1.09,6060857.0,0.8
554.44,-0.16,-0.03,-0.02,1.43,-9.69,1.09,6060769.0,0.8
554.55,-0.17,-0.04,-0.04,1.42,-9.68,1.07,6060692.0,0.8
554.66,-0.18,-0.04,-0.05,1.42,-9.67,1.06,6060657.0,0.8
554.77,-0.18,-0.03,-0.05,1.42,-9.65,1.06,6060609.0,0.8
554.87,-0.18,-0.03,-0.04,1.42,-9.62,1.08,6060555.0,0.8
554.98,-0.16,-0.01,-0.05,1.41,-9.61,1.09,6060512.0,0.8
555.09,-0.13,0.0,-0.06,1.42,-9.62,1.1,6060522.0,0.8
555.2,-0.13,-0.01,-0.06,1.43,-9.62,1.1,6060553.0,0.8
555.3,-0.14,-0.03,-0.05,1.44,-9.62,1.09,6060701.0,0.8
555.41,-0.15,-0.03,-0.02,1.43,-9.62,1.08,6060717.0,0.8
555.52,-0.16,-0.02,0.0,1.42,-9.64,1.08,6060772.0,0.8
555.62,-0.14,-0.02,-0.01,1.42,-9.64,1.09,6060848.0,0.8
555.73,-0.11,-0.02,-0.01,1.43,-9.65,1.09,6060910.0,0.8
555.84,-0.1,-0.04,0.01,1.43,-9.65,1.09,6060915.0,0.8
555.95,-0.12,-0.02,0.03,1.44,-9.65,1.08,6060928.0,0.8
556.06,-0.13,0.0,0.05,1.44,-9.64,1.07,6060922.0,0.8
556.16,-0.14,0.01,0.06,1.45,-9.62,1.07,6060919.0,0.8
556.27,-0.14,0.02,0.03,1.46,-9.61,1.07,6060889.0,0.8
556.38,-0.14,0.02,0.01,1.47,-9.61,1.06,6060871.0,0.8
556.49,-0.16,0.02,-0.01,1.47,-9.63,1.06,6060828.0,0.8
556.59,-0.17,0.02,-0.01,1.46,-9.64,1.09,6060836.0,0.8
556.7,-0.17,0.01,-0.0,1.46,-9.65,1.12,6060807.0,0.8
556.81,-0.18,-0.02,0.01,1.45,-9.65,1.13,6060779.0,0.8
556.92,-0.18,-0.04,-0.01,1.44,-9.64,1.12,6060799.0,0.8
557.02,-0.17,-0.04,-0.04,1.43,-9.64,1.12,6060833.0,0.8
557.13,-0.15,-0.01,-0.05,1.44,-9.63,1.13,6060884.0,0.8
557.24,-0.12,0.02,-0.08,1.45,-9.64,1.11,6060917.0,0.8
557.35,-0.11,0.04,-0.11,1.45,-9.65,1.09,6060911.0,0.8
557.45,-0.11,0.05,-0.11,1.44,-9.66,1.06,6060901.0,0.8
557.56,-0.12,0.04,-0.1,1.44,-9.65,1.05,6060885.0,0.8
557.67,-0.15,0.03,-0.08,1.44,-9.65,1.04,6060904.0,0.8
557.78,-0.17,0.0,-0.05,1.44,-9.65,1.05,6060939.0,0.8
557.89,-0.17,-0.04,-0.02,1.43,-9.64,1.07,6060853.0,0.8
557.99,-0.17,-0.07,-0.01,1.43,-9.64,1.09,6060861.0,0.8
558.1,-0.16,-0.08,-0.01,1.44,-9.65,1.11,6060825.0,0.8
558.21,-0.16,-0.08,-0.02,1.45,-9.66,1.11,6060788.0,0.8
558.32,-0.16,-0.08,-0.02,1.45,-9.66,1.11,6060775.0,0.8
558.42,-0.16,-0.08,-0.01,1.44,-9.66,1.1,6060764.0,0.8
558.53,-0.18,-0.07,-0.01,1.44,-9.66,1.1,6060793.0,0.8
558.64,-0.19,-0.06,-0.02,1.44,-9.66,1.09,6060774.0,0.8
558.74,-0.17,-0.06,-0.03,1.44,-9.64,1.08,6060743.0,0.8
558.85,-0.15,-0.06,-0.03,1.45,-9.64,1.08,6060739.0,0.8
558.96,-0.13,-0.06,-0.0,1.46,-9.64,1.08,6060686.0,0.8
559.07,-0.12,-0.03,0.02,1.47,-9.64,1.07,6060644.0,0.8
559.18,-0.12,-0.01,0.03,1.47,-9.65,1.06,6060630.0,0.8
559.29,-0.13,0.0,0.03,1.47,-9.65,1.06,6060581.0,0.8
559.39,-0.13,0.01,0.04,1.46,-9.66,1.05,6060462.0,0.8
559.5,-0.12,0.02,0.06,1.45,-9.66,1.05,6060347.0,0.8
559.61,-0.11,0.03,0.06,1.44,-9.66,1.06,6060392.0,0.8
559.72,-0.11,0.06,0.03,1.43,-9.66,1.08,6060399.0,0.8
559.83,-0.1,0.06,-0.0,1.44,-9.66,1.1,6060408.0,0.8
559.94,-0.1,0.04,-0.02,1.45,-9.66,1.11,6060389.0,0.8
560.04,-0.1,0.01,-0.02,1.46,-9.65,1.11,6060331.0,0.8
560.15,-0.11,-0.01,-0.02,1.46,-9.64,1.1,6060322.0,0.8
560.26,-0.1,-0.01,0.0,1.46,-9.63,1.08,6060301.0,0.8
560.37,-0.08,0.01,0.02,1.46,-9.63,1.08,6060276.0,0.8
560.47,-0.07,0.04,0.02,1.43,-9.64,1.08,6060307.0,0.8
560.58,-0.07,0.05,0.02,1.42,-9.63,1.08,6060293.0,0.8
560.69,-0.08,0.05,0.02,1.42,-9.63,1.07,6060264.0,0.8
560.8,-0.1,0.03,0.01,1.43,-9.62,1.07,6060233.0,0.8
560.91,-0.12,-0.01,-0.0,1.43,-9.61,1.09,6060141.0,0.8
561.02,-0.14,-0.04,-0.0,1.43,-9.62,1.1,6059866.0,0.8
561.13,-0.17,-0.05,-0.0,1.45,-9.62,1.09,6059724.0,0.8
561.24,-0.18,-0.04,-0.02,1.45,-9.64,1.07,6059444.0,0.8
561.34,-0.18,-0.02,-0.04,1.46,-9.64,1.07,6059175.0,0.8
561.46,-0.18,0.0,-0.03,1.46,-9.65,1.08,6058956.0,0.8
561.56,-0.18,-0.0,-0.01,1.45,-9.65,1.1,6058800.0,0.8
561.67,-0.17,-0.03,0.02,1.44,-9.65,1.11,6058828.0,0.8
561.78,-0.14,-0.07,0.03,1.43,-9.65,1.11,6058906.0,0.8
561.89,-0.12,-0.09,0.04,1.42,-9.65,1.1,6059007.0,0.8
561.99,-0.12,-0.09,0.04,1.42,-9.65,1.08,6059094.0,0.8
562.1,-0.14,-0.09,0.02,1.42,-9.66,1.07,6059172.0,0.8
562.21,-0.16,-0.07,-0.0,1.42,-9.67,1.09,6059252.0,0.8
562.32,-0.18,-0.05,-0.02,1.42,-9.67,1.11,6059240.0,0.8
562.42,-0.19,-0.05,-0.03,1.42,-9.67,1.13,6059178.0,0.8
562.53,-0.18,-0.06,-0.01,1.43,-9.68,1.13,6059227.0,0.8
562.64,-0.17,-0.05,0.04,1.44,-9.67,1.12,6059234.0,0.8
562.75,-0.15,-0.03,0.07,1.45,-9.66,1.11,6059240.0,0.8
562.86,-0.15,0.01,0.06,1.44,-9.65,1.1,6059295.0,0.8
562.97,-0.16,0.04,0.02,1.43,-9.64,1.09,6059511.0,0.8
563.07,-0.15,0.04,-0.01,1.41,-9.64,1.07,6059562.0,0.8
563.18,-0.12,0.02,-0.01,1.4,-9.65,1.05,6059632.0,0.8
563.29,-0.09,0.0,-0.01,1.39,-9.65,1.05,6059701.0,0.8
563.4,-0.07,-0.02,0.02,1.4,-9.65,1.06,6059725.0,0.8
563.51,-0.08,-0.02,0.05,1.42,-9.64,1.07,6059727.0,0.8
563.62,-0.11,-0.02,0.07,1.44,-9.64,1.08,6059696.0,0.8
563.72,-0.14,-0.01,0.07,1.45,-9.63,1.08,6059669.0,0.8
